YS(Mpa),UTS(Mpa),%EL,Charpy Energy at -80 C
735.0761,761.4361,29.040316,67.540825
733.3346,842.115,29.759272,67.011986
745.5621,1013.40173,19.486664,67.28421
682.7042,819.86725,36.46344,64.20326
723.64496,1042.0276,25.293983,61.621754
734.04095,1054.4299,26.288918,40.300694
700.00946,1088.0702,25.968426,38.448013
700.43713,1038.7676,25.329573,61.168682
712.1606,1047.5524,26.60617,43.925568
729.26434,1008.8313,24.175426,68.34677
652.7071,861.24457,30.247477,66.32638
771.766,878.1255,28.372326,54.72246
726.44025,1036.2631,22.419767,65.16643
745.26526,780.06476,34.341892,66.69461
678.0811,1062.2502,26.175722,56.029694
729.9066,922.1139,30.59838,55.786564
696.9791,794.0387,33.49369,64.549286
644.07153,762.7155,32.24808,68.35804
731.0678,757.17694,29.727043,67.540825
730.37396,814.82007,33.745323,62.723995
674.996,887.89325,31.842916,63.145138
768.5245,1031.1687,20.344496,63.366425
596.9404,1027.2258,26.515768,60.71081
793.79926,810.56213,30.93719,61.665318
756.7889,826.35815,33.890125,49.15468
749.4112,962.4328,20.670086,67.08955
721.9035,1042.2876,26.20584,51.951656
757.8838,833.43304,26.34821,63.2258
765.8261,881.2286,30.286339,62.399296
775.6855,1032.5448,23.022123,54.276596
765.335,1086.0686,23.794361,45.550385
773.74066,1047.1447,22.798372,55.98482
737.5526,883.18506,29.852219,64.21916
726.607,1042.2396,24.876873,64.59312
735.37604,1055.1783,24.54274,63.4158
692.73395,814.14905,34.475525,62.723995
758.64795,848.19727,26.480835,62.768288
699.082,1043.5752,24.776426,64.80876
710.4669,867.73517,31.678503,56.533592
771.285,1044.344,23.204222,54.276596
769.7664,754.29,28.26345,62.88936
763.37476,751.0335,33.745735,61.087975
737.8573,721.44934,34.933136,59.190475
648.89825,938.39453,29.01106,47.325756
754.017,805.1784,34.55544,48.11938
756.7921,1037.0344,20.332062,64.32578
753.5507,883.89514,30.267181,58.712868
769.61053,1031.1719,23.788357,54.209816
610.6063,761.6373,34.82099,65.98218
669.55304,764.5137,34.341892,68.08368
711.0114,753.0503,32.657032,67.001076
679.8403,835.3354,33.635185,54.463074
741.0407,840.128,32.736534,38.51514
731.4745,1056.1295,20.59361,64.31224
738.28723,1030.6307,24.816805,57.84531
749.4826,918.96954,29.138643,53.75979
746.6826,1023.9587,20.437979,66.96544
755.71796,910.8552,30.850706,45.017563
755.22284,923.1219,27.103554,49.07604
763.72626,1059.452,24.110178,60.023945
705.0784,1065.4888,26.46298,41.482983
778.40265,1048.6141,23.129707,45.37326
733.6437,1024.297,19.463936,66.96544
586.101,737.14453,34.612576,69.372
750.58496,1041.6781,25.011461,49.70674
747.3099,1004.15344,23.216198,66.93105
626.7672,1075.0558,26.346756,55.016037
733.3731,840.0872,30.958555,67.011986
734.58356,786.54846,33.620026,62.89581
729.70746,900.3962,30.681675,55.786564
647.97015,774.648,33.984135,66.80901
673.1936,832.34174,37.403538,52.231503
662.0393,780.79956,36.47008,63.099438
760.8781,874.3985,25.689978,63.029064
683.05896,1112.5875,20.616968,43.10198
763.45856,858.2172,30.338211,54.73603
725.8581,807.6506,32.467583,63.029064
766.0274,878.5833,30.278677,62.399296
772.40576,880.4237,29.313034,53.6549
763.30786,765.78107,33.668716,62.199142
770.5516,839.4353,29.820515,52.38455
771.9261,857.95624,28.755735,53.97134
767.371,1035.907,19.535227,63.65076
700.7482,843.35645,36.20739,49.125145
654.7354,767.7337,38.022697,48.697365
633.1149,1039.0214,25.883148,64.542755
778.6764,1042.8296,24.198011,46.11101
725.9646,873.94727,30.018696,65.02651
700.31805,801.41284,32.890232,64.645004
646.95734,728.0172,37.309967,68.84879
747.99084,755.9968,34.664864,52.201378
722.26526,1061.583,20.304451,63.333103
767.2147,1035.907,19.5563,63.65076
766.9184,863.7917,28.446268,62.4314
640.99774,996.35376,27.450994,41.847984
724.64136,894.5594,28.728283,63.939304
735.48737,1095.2872,22.684803,45.470627
519.0406,637.18567,35.218906,69.32882
679.5449,1101.1771,24.512789,49.624985
758.18604,852.96326,30.75025,52.066395
672.1488,1091.0254,26.698652,42.85464
771.19415,1045.7361,23.363396,63.053097
762.8552,1027.7582,25.101576,45.013176
742.2852,1046.1062,26.294558,38.75914
666.8516,847.2638,32.838867,54.52663
773.4779,1048.661,23.347805,54.07817
763.76263,1056.9166,23.843992,63.020992
